service_number,state,municipality,longitude,latitude,tarif,initial_date,end_date,total_bill,subsidy_bill,consumption_kwh,tax_iva,cost_supply,cost_distribution,cost_transmission,cost_cenace,cost_energy,cost_capacity,cost_market,cost_dap
334000700571    ,México,Zinacantepec,99.44,19.17,01,3/11/2021,20/01/2022,291.22,517.09,243,36.92,143.58,235.44,42.21,2.04,179.33,143.86,1.14,23.07
334000700571    ,México,Zinacantepec,99.44,19.17,01,2/9/2021,3/11/2021,256.45,476.29,218,32.49,149.58,211.22,37.87,1.83,157.4,126.22,1.26,20.3
334000700571    ,México,Zinacantepec,99.44,19.17,01,5/7/2021,2/9/2021,249.57,480.41,215,31.82,143.58,208.31,37.35,1.81,159.32,127.71,1.25,19.89
334000700571    ,México,Zinacantepec,99.44,19.17,01,5/5/2021,5/7/2021,248.94,494.25,221,32.67,143.58,214.13,38.39,1.86,166.19,133.04,1.28,20.42
334000700571    ,México,Zinacantepec,99.44,19.17,01,5/3/2021,5/5/2021,591.63,476.46,347,75.05,143.58,288.11,60.27,2.91,249.49,199.18,2.01,46.9
334000700571    ,México,Zinacantepec,99.44,19.17,01,5/1/2021,5/3/2021,266.59,484.94,230,33.84,143.58,222.85,39.95,1.93,159.16,127.65,1.33,21.15
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
